sent_id,sent_id,entity1,entity2,sent,processed_sent,human
TRAIN_SENT_ID_259193,,刘备,刘禅,刘 先主 遗诏 托 孤儿 涉及 人物 : 刘备 将 刘禅 托付给 诸葛亮 ， 赵云 ， 李严 三人,刘 先主 遗诏 托 孤儿 涉及 人物  人物一 人物二 托付给 诸葛亮  赵云  李严 三人,-1
TRAIN_SENT_ID_264075,,刘备,孙尚香,刘备 、 孙尚香 、 赵云 、 林 向奕 、 诸葛亮 等,人物一  人物二  赵云  林 向奕  诸葛亮,-1
TRAIN_SENT_ID_251321,,廖仲恺,何香凝,第二任 : 何香凝 （ 1878 年 - 1972 年 ） ， 号 双清 楼主 ， 她 是 国民党 领袖 廖仲恺 的 革命 伴侣 。,第二任  人物二   年   年   号 双清 楼主  国民党 领袖 人物一 革命 伴侣,-1
TRAIN_SENT_ID_262426,,扶苏,秦始皇,秦始皇 临终 以前 ， 曾 为 玺 书 召令 扶苏 至 咸阳 主持 丧事 并 继承 帝位 。,人物二 临终 以前  玺 书 召令 人物一 咸阳 主持 丧事 继承 帝位,-1
TRAIN_SENT_ID_281977,,李亨,张皇后,（ 唐定王 ） : 定王 李侗 ， 唐肃宗 李亨 十三 子 ， 母 张皇后 。,唐定王   定王 李侗  唐肃宗 人物一 十三 子  母 人物二,-1
TRAIN_SENT_ID_251304,,廖仲恺,何香凝,何香凝 （ 1878 年 - 1972 年 ） ， 号 双清 楼主 ， 她 是 国民党 领袖 廖仲恺 的 革命 伴侣 。,人物二   年   年   号 双清 楼主  国民党 领袖 人物一 革命 伴侣,-1
TRAIN_SENT_ID_279552,,李芳远,李成桂,李成桂 果断 在 威化 岛 回军 ， 李芳远 当时 为 典礼 正郎 ， 保护 其母 韩氏 、 庶母 康氏 、 七弟 李芳 蕃 、 八弟 李芳硕 以及 三个 妹妹 逃亡 。,人物二 果断 威化 岛 回军  人物一 当时 典礼 正郎  保护 其母 韩氏  庶母 康氏  七弟 李芳 蕃  八弟 李芳硕 三个 妹妹 逃亡,-1
TRAIN_SENT_ID_249433,,后稷,姜嫄,《 史记 》 载 ， 姜女原 为 帝喾 元妃 ， 履 巨人 之 足迹 而生 后稷 ， 母以子贵 ， 世人 尊称 姜嫄 为 圣母 。,史记  载  姜女原 帝喾 元妃  履 巨人 足迹 而生 人物一  母以子贵  世人 尊称 人物二 圣母,-1
TRAIN_SENT_ID_259320,,刘备,刘禅,三国 时期 ， 诸葛亮 被 刘备 封 为 武乡侯 ， 辅助 后主 刘禅 ， 为了 复兴 蜀室 ， 诸葛亮 多次 出兵 伐 魏 。,三国 时期  诸葛亮 人物一 封 武乡侯  辅助 后主 人物二  复兴 蜀室  诸葛亮 多次 出兵 伐 魏,-1
TRAIN_SENT_ID_248906,,阮星竹,段正淳,金庸 武侠小说 《 天龙八部 》 的 人物 ， 是 段正淳 与 情妇 阮星竹 所 生 之二 女 ， 脸目 姣好 ， 为 阿 朱的 妹妹 。,金庸 武侠小说  天龙八部  人物  人物二 情妇 人物一 生 之二 女  脸目 姣好  朱的 妹妹,-1
TRAIN_SENT_ID_263786,,秦始皇,赵姬,第一章 秦始皇 之母 — — 赵姬,第一章 人物一 之母   人物二,-1
TRAIN_SENT_ID_254128,,霍启刚,郭晶晶,2012 年 1 月 ： 惊爆 郭晶晶 与 霍启刚 将 于 2012 年 10 月 完婚 ； 童年 霍启刚,年  月  惊爆 人物二 人物一  年  月 完婚  童年 人物一,-1
TRAIN_SENT_ID_259230,,刘备,刘禅,后出师表 创作 背景 : 公元 223 年 ， 刘备 病死 ， 将 刘禅 托付给 诸葛亮 。,后出师表 创作 背景  公元  年  人物一 病死  人物二 托付给 诸葛亮,-1
TRAIN_SENT_ID_269134,,白湘瑶,谷萍儿,白湘瑶 母女 斗法 : 施妙妙 尚未 接口 ， 谷萍儿 已笑 道 ： “ 妈 ， 你 既然 这样 说 ？,人物一 母女 斗法  施妙妙 尚未 接口  人物二 已笑 道   妈  说,-1
TRAIN_SENT_ID_286642,,彭德华,季羡林,在 季羡林 眼中 ， 彭德华 是 一位 贤妻良母 ， 她 对 季羡林 关怀备至 ， 对 子女 也 做到 了 慈母 应 做 的 一切 。,人物二 眼中  人物一 一位 贤妻良母  人物二 关怀备至  子女 做到 慈母 应 做,-1
TRAIN_SENT_ID_263215,,胡亥,秦始皇,秦始皇 三十五年 ( 公元前 212 年 ) 再次 修建 阿房宫 ， 秦二世 胡亥 元年 ( 公元前 209 年 ) 继续 修建 。,人物二 三十五年  公元前  年  再次 修建 阿房宫  秦二世 人物一 元年  公元前  年  继续 修建,-1
TRAIN_SENT_ID_259279,,刘备,刘禅,后 刘备 称帝 不久 便 驾崩 ， 后主 刘禅 即位 ， 益州牧 便 由 诸葛亮 担任 。,人物一 称帝 不久 便 驾崩  后主 人物二 即位  益州牧 便 诸葛亮 担任,-1
TRAIN_SENT_ID_285833,,王皇后,王夔,王皇后 ， 曹魏 废帝 曹芳 的 第三任 皇后 ， 奉 车都尉 王夔 的 女儿 。,人物一  曹魏 废帝 曹芳 第三任 皇后  奉 车都尉 人物二 女儿,-1
TRAIN_SENT_ID_286016,,吴澄,楚国公主,《 元 和 姓 纂 》 对 吴澄 、 吴士 彦 、 楚国公主 、 普宁 公主 有所 记载 。,元 姓 纂  人物一  吴士 彦  人物二  普宁 公主 有所 记载,-1
TRAIN_SENT_ID_277836,,高安公主,萧淑妃,高安公主 ， 始封 宣城公主 ， 母 萧淑妃 。,人物一  始封 宣城公主  母 人物二,-1
TRAIN_SENT_ID_263783,,秦始皇,赵姬,赵姬 是 秦始皇 的 生母 ， 入主 秦宫 的 赵姬 。,人物二 人物一 生母  入主 秦宫 人物二,-1
TRAIN_SENT_ID_276542,,孔子,亓官氏,楷雕 简介 : 楷雕 历史 : 传说 子贡 为报 师恩 ， 用 楷木 雕刻 了 其师 孔子 、 师母 亓官氏 两尊 圆雕 坐像 。,楷雕 简介  楷雕 历史  传说 子贡 为报 师恩  楷木 雕刻 其师 人物一  师母 人物二 两尊 圆雕 坐像,-1
TRAIN_SENT_ID_264350,,贾环,赵姨娘,贾环 ， 贾政之 子 ， 庶出 ， 母 赵姨娘 。,人物一  贾政之 子  庶出  母 人物二,-1
TRAIN_SENT_ID_262475,,扶苏,秦始皇,这 一年 ， 秦始皇 南巡 吴 、 楚 途中 得 了 绞肠痧 症 ， 临死前 ， 他 紧忙 遗诏 于 扶苏 ， 命其 急速 回 京城 咸阳 继承 皇位 。,一年  人物二 南巡 吴  楚 途中 绞肠痧 症  临死前  紧忙 遗诏 人物一  命其 急速 回 京城 咸阳 继承 皇位,-1
TRAIN_SENT_ID_275660,,李惠元,安贞焕,有意思 的 是 ， 那天 安贞焕 还 带 着 队友 李东国 和 高钟秀 一起 前往 ， 并 对 他们 介绍 说 李惠元 是 自己 的 小妹妹 。,有意思  那天 人物二 带 队友 李东国 高钟秀 一起 前往  介绍 说 人物一 小妹妹,-1
TRAIN_SENT_ID_277409,,贾午,郭槐,人物 评价 : 贾午 生母 郭槐 ： 赵粲 及午 必乱汝事 ， 我 死 后 ， 勿 复 听入 ， 深忆吾言 。,人物 评价  人物一 生母 人物二  赵粲 及午 必乱汝事  死  勿 复 听入  深忆吾言,-1
TRAIN_SENT_ID_273918,,江冬秀,胡适,江冬秀 的 外祖父 曾位 至 翰林 ， 其 舅母 是 胡适 的 姑婆 。,人物一 外祖父 曾位 翰林  舅母 人物二 姑婆,-1
TRAIN_SENT_ID_273347,,秦香莲,陈世美,第二天 早晨 ， 张元龙 带 着 秦香莲 母子 三人到 驸马 府 — — 紫墀 宫 找 陈世美 ， 但 陈世美 却 不让 他们 进宫 。,第二天 早晨  张元龙 带 人物一 母子 三人到 驸马 府   紫墀 宫 找 人物二  人物二 不让 进宫,-1
TRAIN_SENT_ID_264354,,贾环,赵姨娘,贾环 是 宝玉 的 同父异母 弟弟 ， 赵姨娘 的 亲生 子 。,人物一 宝玉 同父异母 弟弟  人物二 亲生 子,-1
TRAIN_SENT_ID_258699,,刘禅,刘备,刘禅 继位 初期 ， 根据 刘备 遗诏 ， 由 丞相 诸葛亮 辅政 ， “ 政 事无巨细 ， 咸决 于亮 ” 。,人物一 继位 初期  人物二 遗诏  丞相 诸葛亮 辅政   政 事无巨细  咸决 于亮,-1
TRAIN_SENT_ID_278222,,萧玉婉,郗徽,永世 公主 萧玉婉 ， 母 郗徽,永世 公主 人物一  母 人物二,-1
TRAIN_SENT_ID_254170,,邢夫人,贾赦,她 的 婆婆 邢夫人 要 她 去向 贾母 为 贾赦 讨 鸳鸯 做 妾 ， 她 很 巧妙 地 摆脱 了 。,婆婆 人物一 去向 贾母 人物二 讨 鸳鸯 做 妾  巧妙 摆脱,-1
TRAIN_SENT_ID_270300,,宣姜,卫宣公,"当然 ， 她们 姓 姜 , 姐姐 嫁给 了 卫宣公 , 被 称为 宣姜 , 妹妹 被 称为 文姜 , 嫁给 了 鲁恒公 。",姓 姜  姐姐 嫁给 人物二  称为 人物一  妹妹 称为 文姜  嫁给 鲁恒公,-1
TRAIN_SENT_ID_276468,,尤氏,贾珍,宁府 贾敬 死 的 时候 ， 正赶上 贾珍 外出 ， 府 里 办 丧事 缺少 人手 ， 尤氏 便 把 自己 的 妹妹 接 来 ， 帮忙 照料 家中 事务 。,宁府 贾敬 死  正赶上 人物二 外出  府 里 办 丧事 缺少 人手  人物一 便 妹妹 接  帮忙 照料 家中 事务,-1
TRAIN_SENT_ID_250475,,朱常洵,郑贵妃,"该寺 是 明 福王 朱常洵 为 其 生母 郑贵妃 “ 抒因心 之 忠孝 ” 而建 的 , “ 心之善 可 因 也 ; 心可因 , 故恩 可迎 也 ” , 遂 取名 “ 迎恩 ” 。",该寺 明 福王 人物一 生母 人物二  抒因心 忠孝  而建   心之善  心可因  故恩 可迎   遂 取名  迎恩,-1
TRAIN_SENT_ID_276474,,尤氏,贾珍,尤氏 也 不是 贾蓉 的 生母 ， 贾蓉 是 贾珍 的 原配 所 生 。,人物一 贾蓉 生母  贾蓉 人物二 原配 生,-1
TRAIN_SENT_ID_260902,,贾珍,贾蓉,贾珍 假正经 : 一次 ， 贾母 率领 全家 到 清虚观 祈福 ， 天气炎热 ， 人 都 很 忙 ， 贾珍 找 贾蓉 不 着 ， 忽见 他 躲 在 钟楼 里 乘凉 。,人物一 假正经  一次  贾母 率领 全家 清虚观 祈福  天气炎热  忙  人物一 找 人物二  忽见 躲 钟楼 里 乘凉,-1
TRAIN_SENT_ID_249395,,后稷,姜嫄,后稷 人物 考证 : 后稷 被弃 : 关于 后稷 被 其母 姜嫄 抛弃 的 原因 ， 学术界 有 以下 几种 说法 ：,人物一 人物 考证  人物一 被弃  人物一 其母 人物二 抛弃 原因  学术界 以下 几种 说法,-1
TRAIN_SENT_ID_259116,,刘备,刘禅,卷 五 附录 刘备 、 刘禅 下于 诸葛亮 之 诏书 ， 曹操 、 孙权 、 司马懿 及 有关 人物 给 诸葛亮 书信 ； 卷 六 选录 历代 所撰 诸葛亮 论赞 及 碑文 、 庙记 等 。,卷 五 附录 人物一  人物二 下于 诸葛亮 诏书  曹操  孙权  司马懿 人物 诸葛亮 书信  卷 六 选录 历代 所撰 诸葛亮 论赞 碑文  庙记,-1
TRAIN_SENT_ID_259034,,刘备,刘禅,3 创作 背景 : 公元 223 年 ， 刘备 病死 ， 将 刘禅 托付给 诸葛亮 。,创作 背景  公元  年  人物一 病死  人物二 托付给 诸葛亮,-1
